,"FI","IKR","Inkeroinen","Inkeroinen","09","--3-----","RL","1307",,"6042N 02651E",
,"FI","ILO","Ilomantsi (Ilomants)","Ilomantsi (Ilomants)","13","--3-----","RL","1307",,"6240N 03056E",
,"FI","ILV","Ilvesjoki","Ilvesjoki","03","--3-----","RL","1307",,"6220N 02243E",
,"FI","IMA","Imatra","Imatra","02","123----B","AC","1307",,"6110N 02845E",
,"FI","INA","Inari","Inari",,"--3-----","RL","0901",,"6854N 02710E",
,"FI","INI","Iniö","Inio","19","1-------","AF","1401",,"6024N 02124E",
,"FI","INK","Ingå (Inkoo)","Inga (Inkoo)","18","1-------","AI","1401",,,
,"FI","INK","Inkoo (Ingå)","Inkoo (Inga)","18","1-------","AI","1401",,,
,"FI","ISK","Isokyro","Isokyro","12","--3-----","AA","1601",,"6300N 02219E",
,"FI","ISN","Isnäs","Isnas","18","1-------","AF","1401",,,
,"FI","ISO","Isojoki","Isojoki","03","--3-----","RL","1307",,"6207N 02158E",
,"FI","ITI","Iitti","Iitti","09","--3-----","RL","1307",,"6052N 02623E",
,"FI","IVL","Ivalo","Ivalo","10","--34----","AC","1401",,"6839N 02736E",
,"FI","JAM","Jaminkipohja","Jaminkipohja","19","--3-----","AA","1907",,"6154N 02407E",
,"FI","JAN","Janakkala","Janakkala","06","1-------","RL","1307",,"6054N 02436E",
,"FI","JAR","Järvelä","Jarvela","10","-----6--","RL","1307",,"6923N 02739E",
,"FI","JJV","Jalasjärvi","Jalasjarvi","03","--3-----","RL","1307",,"6230N 02245E",
,"FI","JKA","Jokela","Jokela","15","--3-----","RQ","1401",,,
,"FI","JKK","Viljakkala","Viljakkala",,"--3-----","RL","1301",,"6142N 02316E",
,"FI","JKS","Juankoski","Juankoski",,"--3-----","RL","1301",,"6304N 02821E",
,"FI","JLA","Jaala","Jaala","09","--3-----","RL","1307",,"6103N 02628E",
,"FI","JMS","Jämsä","Jamsa","07","--3-----","RL","1401",,,
,"FI","JMV","Jämijärvi","Jamijarvi","17","--3-----","RL","1307",,"6149N 02242E",
,"FI","JOE","Joensuu","Joensuu","13","1234----","AC","1307",,"6236N 02946E",
,"FI","JOI","Joroinen","Joroinen","04","--3-----","AA","1801",,"6211N 02750E",
,"FI","JOK","Jokioinen","Jokioinen","06","-23-----","RL","1307",,"6049N 02327E",
,"FI","JOR","Jormua","Jormua",,"--3-----","RL","1301",,"6419N 02752E",
,"FI","JOU","Joutseno","Joutseno","02","123-----","AF","1307",,"6106N 02829E",
,"FI","JPA","Jeppo (Jepua)","Jeppo (Jepua)","12","--3-----","AF","1401",,"6324N 02237E",
,"FI","JPA","Jepua (Jeppo)","Jepua (Jeppo)","12","--3-----","AF","1401",,"6324N 02237E",
,"FI","JRV","Jurva","Jurva","03","--3-----","AF","1401",,"6241N 02159E",
,"FI","JSA","Joutsa","Joutsa","08","--3-----","RL","1307",,"6144N 02607E",
,"FI","JSK","Jämsänkoski","Jamsankoski","08","--3-----","AF","1401",,"6155N 02511E",
,"FI","JUK","Juuka","Juuka","13","1----6--","RQ","1307",,"6314N 02915E",
,"FI","JUS","Jussaro","Jussaro",,"1-------","RL","1107",,"5949N 02334E",
,"FI","JUU","Juupajoki","Juupajoki","11","--3-----","AA","1601",,"6147N 02427E",
,"FI","JVA","Juva","Juva","04","--3-----","RQ","1307",,"6153N 02751E",
,"FI","JVP","Järvenpää (Träskända)","Jarvenpaa (Traskanda)","18","--3-----","AF","1401",,"6014N 02442E",
,"FI","JVP","Träskända (Järvenpää)","Traskanda (Jarvenpaa)","18","--3-----","AF","1401",,"6014N 02442E",
,"FI","JYK","Jyskä","Jyska","08","--3-----","RL","1307",,"6214N 02550E",
,"FI","JYV","Jyväskylä","Jyvaskyla","08","1234----","AC","1307",,"6215N 02544E",
,"FI","KAA","Sankt Karins (Kaarina)","Sankt Karins (Kaarina)","19","--3-----","AF","1401",,"6025N 02225E",
,"FI","KAA","Kaarina (Sankt Karins)","Kaarina (Sankt Karins)","19","--3-----","AF","1401",,"6025N 02225E",
,"FI","KAI","Karigasniemi","Karigasniemi","10","--3----B","AC","1401",,"6924N 02550E",
,"FI","KAJ","Kajaani (Kajana)","Kajaani (Kajana)","05","-234----","AC","1401",,"6414N 02741E",
,"FI","KAJ","Kajana (Kajaani)","Kajana (Kajaani)","05","-234----","AC","1401",,"6414N 02741E",
,"FI","KAL","Kalkstrand (Kalkkiranta)","Kalkstrand (Kalkkiranta)","18","--3-----","RL","1401",,"6015N 02523E",
,"FI","KAL","Kalkkiranta (Kalkstrand)","Kalkkiranta (Kalkstrand)","18","--3-----","RL","1401",,"6015N 02523E",
,"FI","KAN","Kantlax (Kaitalahti)","Kantlax (Kaitalahti)","12","1-3-----","RL","1307",,"6145N 02343E",
,"FI","KAO","Kuusamo","Kuusamo","14","--34---B","AC","1401",,"6558N 02911E",
,"FI","KAR","Karstula","Karstula","08","--3-----","RL","1307",,"6253N 02447E",
,"FI","KAS","Kaskinen (Kaskö)","Kaskinen (Kasko)","19","1-------","AI","1401",,"6037N 02153E",
,"FI","KAS","Kaskö (Kaskinen)","Kasko (Kaskinen)","19","1-------","AI","1401",,"6037N 02153E",
,"FI","KAU","Kauhava","Kauhava","03","---4----","AF","1401",,"6306N 02305E",
,"FI","KAV","Karvio","Karvio","04","--3-----","RQ","1307",,"6230N 02839E",
,"FI","KBY","Kållby (Kolppi)","Kallby (Kolppi)","12","-23-----","RL","1307",,"6337N 02252E",
,"FI","KEI","Keikyä","Keikya","11","--3-----","RL","1307",,"6116N 02242E",
,"FI","KEL","Kello","Kello","15","--3-----","RL","2001",,"6508N 02520E",
,"FI","KEM","Kemi/Torneå (Kemi/Tornio)","Kemi/Tornea (Kemi/Tornio)","10","1-34----","AI","1307",,"6544N 02434E",
,"FI","KEM","Kemi/Tornio (Kemi/Torneå)","Kemi/Tornio (Kemi/Tornea)","10","1-34----","AI","1307",,"6544N 02434E",
,"FI","KER","Kerava (Kervo)","Kerava (Kervo)","18","--3-----","AF","1401",,"6024N 02507E",
,"FI","KER","Kervo (Kerava)","Kervo (Kerava)","18","--3-----","AF","1401",,"6024N 02507E",
,"FI","KES","Kesälahti","Kesalahti","13","123-----","RL","1307",,"6153N 02950E",
,"FI","KEU","Keuruu","Keuruu","08","--3-----","AF","1401",,"6216N 02442E",
,"FI","KEV","Kuorevesi","Kuorevesi","11","---4----","AI","1401",,"6151N 02447E",
,"FI","KGI","Kangasniemi","Kangasniemi",,"--3-----","RL","1301",,"6159N 02638E",
